open_time,close_time,open,high,low,close,volume,currency_pair
2024-05-10,2024-05-10 23:59:59.999,596.80000000,597.00000000,581.50000000,585.60000000,296215.51600000,BNBUSDT
2024-05-11,2024-05-11 23:59:59.999,585.70000000,594.50000000,580.80000000,592.20000000,210698.30500000,BNBUSDT
2024-05-12,2024-05-12 23:59:59.999,592.20000000,600.10000000,587.30000000,594.80000000,191190.56200000,BNBUSDT
2024-05-13,2024-05-13 23:59:59.999,594.80000000,598.40000000,585.20000000,591.70000000,389810.28600000,BNBUSDT
2024-05-14,2024-05-14 23:59:59.999,591.70000000,593.10000000,562.00000000,567.10000000,453308.31600000,BNBUSDT
2024-05-15,2024-05-15 23:59:59.999,567.10000000,587.30000000,560.00000000,581.00000000,402812.99300000,BNBUSDT
2024-05-16,2024-05-16 23:59:59.999,581.00000000,586.60000000,565.10000000,569.20000000,411937.05600000,BNBUSDT
2024-05-17,2024-05-17 23:59:59.999,569.20000000,584.50000000,568.60000000,580.90000000,236919.61600000,BNBUSDT
2024-05-18,2024-05-18 23:59:59.999,580.90000000,581.90000000,574.20000000,580.30000000,168074.71100000,BNBUSDT
2024-05-19,2024-05-19 23:59:59.999,580.30000000,581.90000000,571.30000000,574.50000000,142157.48500000,BNBUSDT
2024-05-20,2024-05-20 23:59:59.999,574.60000000,602.00000000,568.80000000,599.60000000,469252.80600000,BNBUSDT
2024-05-21,2024-05-21 23:59:59.999,599.60000000,631.40000000,593.30000000,618.50000000,1023559.61300000,BNBUSDT
2024-05-22,2024-05-22 23:59:59.999,618.50000000,626.30000000,610.10000000,614.80000000,404848.48700000,BNBUSDT
2024-05-23,2024-05-23 23:59:59.999,614.80000000,617.50000000,580.00000000,599.30000000,607671.94700000,BNBUSDT
2024-05-24,2024-05-24 23:59:59.999,599.40000000,605.50000000,588.30000000,600.30000000,251965.17600000,BNBUSDT
2024-05-25,2024-05-25 23:59:59.999,600.30000000,606.70000000,599.50000000,602.40000000,121538.95800000,BNBUSDT
2024-05-26,2024-05-26 23:59:59.999,602.30000000,605.40000000,598.00000000,600.20000000,122983.66000000,BNBUSDT
2024-05-27,2024-05-27 23:59:59.999,600.30000000,614.40000000,599.60000000,603.90000000,229302.37700000,BNBUSDT
2024-05-28,2024-05-28 23:59:59.999,603.90000000,606.00000000,593.80000000,601.70000000,284862.98500000,BNBUSDT
2024-05-29,2024-05-29 23:59:59.999,601.70000000,603.60000000,593.10000000,595.70000000,212706.25400000,BNBUSDT
2024-05-30,2024-05-30 23:59:59.999,595.70000000,602.20000000,586.50000000,595.10000000,225452.34400000,BNBUSDT
2024-05-31,2024-05-31 23:59:59.999,595.10000000,599.00000000,590.00000000,593.70000000,168608.05400000,BNBUSDT
2024-06-01,2024-06-01 23:59:59.999,593.80000000,608.40000000,593.10000000,601.90000000,156464.89400000,BNBUSDT
2024-06-02,2024-06-02 23:59:59.999,601.90000000,606.00000000,596.00000000,602.90000000,198299.99600000,BNBUSDT
2024-06-03,2024-06-03 23:59:59.999,602.80000000,638.80000000,601.20000000,626.40000000,654161.46700000,BNBUSDT
2024-06-04,2024-06-04 23:59:59.999,626.40000000,688.20000000,624.80000000,685.70000000,736322.68030000,BNBUSDT
2024-06-05,2024-06-05 23:59:59.999,685.70000000,716.00000000,684.70000000,698.80000000,673820.56520000,BNBUSDT
2024-06-06,2024-06-06 23:59:59.999,698.80000000,710.00000000,692.00000000,704.20000000,234504.16900000,BNBUSDT
2024-05-07,2024-05-07 23:59:59.999,0.15649000,0.15992000,0.14924000,0.14999000,1298799353.00000000,DOGEUSDT
2024-05-08,2024-05-08 23:59:59.999,0.14999000,0.15200000,0.14206000,0.14324000,1301147548.00000000,DOGEUSDT
2024-05-09,2024-05-09 23:59:59.999,0.14323000,0.15423000,0.14311000,0.15220000,1204735659.00000000,DOGEUSDT
2024-05-10,2024-05-10 23:59:59.999,0.15220000,0.15387000,0.14224000,0.14389000,1163562851.00000000,DOGEUSDT
2024-05-11,2024-05-11 23:59:59.999,0.14389000,0.14626000,0.14247000,0.14306000,461844106.00000000,DOGEUSDT
2024-05-12,2024-05-12 23:59:59.999,0.14305000,0.14446000,0.13899000,0.14123000,789804071.00000000,DOGEUSDT
2024-05-13,2024-05-13 23:59:59.999,0.14122000,0.15765000,0.13579000,0.14864000,2524431949.00000000,DOGEUSDT
2024-05-14,2024-05-14 23:59:59.999,0.14863000,0.15516000,0.14429000,0.14552000,1854848426.00000000,DOGEUSDT
2024-05-15,2024-05-15 23:59:59.999,0.14552000,0.15700000,0.14525000,0.15534000,1845492157.00000000,DOGEUSDT
2024-05-16,2024-05-16 23:59:59.999,0.15533000,0.15931000,0.14825000,0.14972000,1316060414.00000000,DOGEUSDT
2024-05-17,2024-05-17 23:59:59.999,0.14971000,0.15692000,0.14922000,0.15555000,1076157319.00000000,DOGEUSDT
2024-05-18,2024-05-18 23:59:59.999,0.15555000,0.15690000,0.15123000,0.15302000,698372016.00000000,DOGEUSDT
2024-05-19,2024-05-19 23:59:59.999,0.15302000,0.15604000,0.14740000,0.14908000,734215105.00000000,DOGEUSDT
2024-05-20,2024-05-20 23:59:59.999,0.14908000,0.16636000,0.14767000,0.16573000,1539763324.00000000,DOGEUSDT
2024-05-21,2024-05-21 23:59:59.999,0.16573000,0.17330000,0.16071000,0.17024000,2403419353.00000000,DOGEUSDT
2024-05-22,2024-05-22 23:59:59.999,0.17023000,0.17461000,0.16174000,0.16628000,1812336614.00000000,DOGEUSDT
2024-05-23,2024-05-23 23:59:59.999,0.16628000,0.16941000,0.15171000,0.15973000,2098823634.00000000,DOGEUSDT
2024-05-24,2024-05-24 23:59:59.999,0.15973000,0.17328000,0.15500000,0.16386000,2918289583.00000000,DOGEUSDT
2024-05-25,2024-05-25 23:59:59.999,0.16386000,0.17438000,0.16270000,0.17402000,1286560263.00000000,DOGEUSDT
2024-05-26,2024-05-26 23:59:59.999,0.17402000,0.17500000,0.16551000,0.16621000,1223858574.00000000,DOGEUSDT
2024-05-27,2024-05-27 23:59:59.999,0.16621000,0.17350000,0.16416000,0.16908000,1347104309.00000000,DOGEUSDT
2024-05-28,2024-05-28 23:59:59.999,0.16908000,0.16982000,0.16157000,0.16497000,1230843968.00000000,DOGEUSDT
2024-05-29,2024-05-29 23:59:59.999,0.16496000,0.17087000,0.16208000,0.16386000,1395564391.00000000,DOGEUSDT
2024-05-30,2024-05-30 23:59:59.999,0.16386000,0.16570000,0.15642000,0.15946000,1456479032.00000000,DOGEUSDT
2024-05-31,2024-05-31 23:59:59.999,0.15945000,0.16261000,0.15431000,0.15898000,801814565.00000000,DOGEUSDT
2024-06-01,2024-06-01 23:59:59.999,0.15898000,0.16199000,0.15840000,0.16031000,367195745.00000000,DOGEUSDT
2024-06-02,2024-06-02 23:59:59.999,0.16031000,0.16137000,0.15469000,0.15710000,493754241.00000000,DOGEUSDT
2024-06-03,2024-06-03 23:59:59.999,0.15710000,0.16346000,0.15579000,0.15835000,823747427.00000000,DOGEUSDT
2024-06-04,2024-06-04 23:59:59.999,0.15834000,0.16194000,0.15706000,0.16136000,639124799.00000000,DOGEUSDT
